,period,state,stateName,timePeriod,sector,sectorName,all-other-costs,customer-incentive,energy-savings,potential-peak-savings,all-other-costs-units,customer-incentive-units,energy-savings-units,potential-peak-savings-units
1089,2019,ME,Maine,Reporting Year,IND,industrial,0,0,0,0,thousand dollars,thousand dollars,megawatthours,megawatts
1090,2019,MD,Maryland,Reporting Year,IND,industrial,1489,4384,22705,3.7,thousand dollars,thousand dollars,megawatthours,megawatts
1091,2019,MA,Massachusetts,Reporting Year,IND,industrial,5161,15192,67950,10.1,thousand dollars,thousand dollars,megawatthours,megawatts
1092,2019,LA,Louisiana,Reporting Year,IND,industrial,0,0,0,0,thousand dollars,thousand dollars,megawatthours,megawatts
1093,2019,KY,Kentucky,Reporting Year,IND,industrial,0,20,0,0,thousand dollars,thousand dollars,megawatthours,megawatts
1094,2019,KS,Kansas,Reporting Year,IND,industrial,0,0,0,0,thousand dollars,thousand dollars,megawatthours,megawatts
1095,2019,IN,Indiana,Reporting Year,IND,industrial,886,2107,37312,5.4,thousand dollars,thousand dollars,megawatthours,megawatts
1096,2019,IL,Illinois,Reporting Year,IND,industrial,287,1693,11661,1.4,thousand dollars,thousand dollars,megawatthours,megawatts
1097,2019,ID,Idaho,Reporting Year,IND,industrial,6885,12717,96862,168.4,thousand dollars,thousand dollars,megawatthours,megawatts
1098,2019,IA,Iowa,Reporting Year,IND,industrial,4270,20733,146542,23.4,thousand dollars,thousand dollars,megawatthours,megawatts
1099,2019,HI,Hawaii,Reporting Year,IND,industrial,7,54,336,0,thousand dollars,thousand dollars,megawatthours,megawatts
1100,2019,GA,Georgia,Reporting Year,IND,industrial,16,10,2183,.6,thousand dollars,thousand dollars,megawatthours,megawatts
1101,2019,FL,Florida,Reporting Year,IND,industrial,334,715,7153,2.2,thousand dollars,thousand dollars,megawatthours,megawatts
1102,2019,DE,Delaware,Reporting Year,IND,industrial,0,0,0,0,thousand dollars,thousand dollars,megawatthours,megawatts
1103,2019,DC,District of Columbia,Reporting Year,IND,industrial,0,0,0,0,thousand dollars,thousand dollars,megawatthours,megawatts
1104,2019,CT,Connecticut,Reporting Year,IND,industrial,7060,12072,54768,8.3,thousand dollars,thousand dollars,megawatthours,megawatts
1105,2019,CO,Colorado,Reporting Year,IND,industrial,1169,7330,55175,10.7,thousand dollars,thousand dollars,megawatthours,megawatts
1106,2019,CA,California,Reporting Year,IND,industrial,30859,18290,112950,20,thousand dollars,thousand dollars,megawatthours,megawatts
1107,2019,AZ,Arizona,Reporting Year,IND,industrial,1365,861,26324,21.6,thousand dollars,thousand dollars,megawatthours,megawatts
1108,2019,AR,Arkansas,Reporting Year,IND,industrial,3662,9973,67387,16.1,thousand dollars,thousand dollars,megawatthours,megawatts
1109,2019,AL,Alabama,Reporting Year,IND,industrial,797,41,374,0,thousand dollars,thousand dollars,megawatthours,megawatts
1110,2019,AK,Alaska,Reporting Year,IND,industrial,0,0,0,0,thousand dollars,thousand dollars,megawatthours,megawatts
1111,2019,US,United States,Expected Life Cycle of Programs,COM,commercial,910039,1659591,186931400,2992.9,thousand dollars,thousand dollars,megawatthours,megawatts
1112,2019,TX,Texas,Expected Life Cycle of Programs,COM,commercial,8387,70201,8239137,252.6,thousand dollars,thousand dollars,megawatthours,megawatts
1113,2019,TN,Tennessee,Expected Life Cycle of Programs,COM,commercial,402,140,55145,1,thousand dollars,thousand dollars,megawatthours,megawatts
1114,2019,SD,South Dakota,Expected Life Cycle of Programs,COM,commercial,540,1627,350397,17.6,thousand dollars,thousand dollars,megawatthours,megawatts
1115,2019,SC,South Carolina,Expected Life Cycle of Programs,COM,commercial,8599,18064,1985870,27.7,thousand dollars,thousand dollars,megawatthours,megawatts
1116,2019,RI,Rhode Island,Expected Life Cycle of Programs,COM,commercial,4985,24942,865300,10.7,thousand dollars,thousand dollars,megawatthours,megawatts
1117,2019,PA,Pennsylvania,Expected Life Cycle of Programs,COM,commercial,27411,26949,6565565,66,thousand dollars,thousand dollars,megawatthours,megawatts
1118,2019,OR,Oregon,Expected Life Cycle of Programs,COM,commercial,34929,38673,3074512,46.2,thousand dollars,thousand dollars,megawatthours,megawatts
1119,2019,OK,Oklahoma,Expected Life Cycle of Programs,COM,commercial,8147,12873,1239827,65.4,thousand dollars,thousand dollars,megawatthours,megawatts
1120,2019,WY,Wyoming,Expected Life Cycle of Programs,COM,commercial,1849,1323,158390,3.3,thousand dollars,thousand dollars,megawatthours,megawatts
1121,2019,WV,West Virginia,Expected Life Cycle of Programs,COM,commercial,1347,1033,406117,3,thousand dollars,thousand dollars,megawatthours,megawatts
1122,2019,WI,Wisconsin,Expected Life Cycle of Programs,COM,commercial,16616,24380,3948344,38.1,thousand dollars,thousand dollars,megawatthours,megawatts
1123,2019,WA,Washington,Expected Life Cycle of Programs,COM,commercial,20847,35584,3739407,459.5,thousand dollars,thousand dollars,megawatthours,megawatts
1124,2019,VT,Vermont,Expected Life Cycle of Programs,COM,commercial,12546,9624,811293,8.7,thousand dollars,thousand dollars,megawatthours,megawatts
1125,2019,VA,Virginia,Expected Life Cycle of Programs,COM,commercial,6352,12007,784396,15.1,thousand dollars,thousand dollars,megawatthours,megawatts
1126,2019,UT,Utah,Expected Life Cycle of Programs,COM,commercial,11933,15181,1470710,20.6,thousand dollars,thousand dollars,megawatthours,megawatts
1127,2019,OH,Ohio,Expected Life Cycle of Programs,COM,commercial,22785,33453,7328461,106.3,thousand dollars,thousand dollars,megawatthours,megawatts
1128,2019,NY,New York,Expected Life Cycle of Programs,COM,commercial,55444,182542,14232897,232.8,thousand dollars,thousand dollars,megawatthours,megawatts
1129,2019,NV,Nevada,Expected Life Cycle of Programs,COM,commercial,10174,3848,1841225,35.7,thousand dollars,thousand dollars,megawatthours,megawatts
1130,2019,NM,New Mexico,Expected Life Cycle of Programs,COM,commercial,3715,5156,366816,6.2,thousand dollars,thousand dollars,megawatthours,megawatts
1131,2019,NJ,New Jersey,Expected Life Cycle of Programs,COM,commercial,13230,88717,4067645,51.4,thousand dollars,thousand dollars,megawatthours,megawatts
1132,2019,NH,New Hampshire,Expected Life Cycle of Programs,COM,commercial,6695,19747,1166371,8.1,thousand dollars,thousand dollars,megawatthours,megawatts
1133,2019,NE,Nebraska,Expected Life Cycle of Programs,COM,commercial,463,2454,384856,7.5,thousand dollars,thousand dollars,megawatthours,megawatts
1134,2019,ND,North Dakota,Expected Life Cycle of Programs,COM,commercial,41,62,11644,.6,thousand dollars,thousand dollars,megawatthours,megawatts
1135,2019,NC,North Carolina,Expected Life Cycle of Programs,COM,commercial,16014,38662,4519522,74.3,thousand dollars,thousand dollars,megawatthours,megawatts
1136,2019,MT,Montana,Expected Life Cycle of Programs,COM,commercial,3930,4874,783472,.3,thousand dollars,thousand dollars,megawatthours,megawatts
1137,2019,MS,Mississippi,Expected Life Cycle of Programs,COM,commercial,1794,5489,547722,7,thousand dollars,thousand dollars,megawatthours,megawatts
1138,2019,MO,Missouri,Expected Life Cycle of Programs,COM,commercial,6487,25899,4102254,72.1,thousand dollars,thousand dollars,megawatthours,megawatts
1139,2019,MN,Minnesota,Expected Life Cycle of Programs,COM,commercial,31441,38643,7032194,85.4,thousand dollars,thousand dollars,megawatthours,megawatts
1140,2019,MI,Michigan,Expected Life Cycle of Programs,COM,commercial,78809,38780,32101777,133.1,thousand dollars,thousand dollars,megawatthours,megawatts
1141,2019,ME,Maine,Expected Life Cycle of Programs,COM,commercial,7731,20331,1457454,23.8,thousand dollars,thousand dollars,megawatthours,megawatts
1142,2019,MD,Maryland,Expected Life Cycle of Programs,COM,commercial,19763,63833,3153946,49.4,thousand dollars,thousand dollars,megawatthours,megawatts
1143,2019,MA,Massachusetts,Expected Life Cycle of Programs,COM,commercial,50728,181483,7929260,90.2,thousand dollars,thousand dollars,megawatthours,megawatts
1144,2019,LA,Louisiana,Expected Life Cycle of Programs,COM,commercial,5024,5961,761510,8.1,thousand dollars,thousand dollars,megawatthours,megawatts
1145,2019,KY,Kentucky,Expected Life Cycle of Programs,COM,commercial,3503,6036,2529152,25.8,thousand dollars,thousand dollars,megawatthours,megawatts
1146,2019,KS,Kansas,Expected Life Cycle of Programs,COM,commercial,0,5,673,.1,thousand dollars,thousand dollars,megawatthours,megawatts
1147,2019,IN,Indiana,Expected Life Cycle of Programs,COM,commercial,17068,29955,5046769,58.5,thousand dollars,thousand dollars,megawatthours,megawatts
1148,2019,IL,Illinois,Expected Life Cycle of Programs,COM,commercial,72195,162890,14756836,187.6,thousand dollars,thousand dollars,megawatthours,megawatts
1149,2019,ID,Idaho,Expected Life Cycle of Programs,COM,commercial,6075,11189,1176255,139.4,thousand dollars,thousand dollars,megawatthours,megawatts
1150,2019,IA,Iowa,Expected Life Cycle of Programs,COM,commercial,6131,19262,2151169,32.8,thousand dollars,thousand dollars,megawatthours,megawatts
1151,2019,HI,Hawaii,Expected Life Cycle of Programs,COM,commercial,6030,10541,1286467,11.3,thousand dollars,thousand dollars,megawatthours,megawatts
1152,2019,GA,Georgia,Expected Life Cycle of Programs,COM,commercial,8924,15968,2977744,55.4,thousand dollars,thousand dollars,megawatthours,megawatts
1153,2019,FL,Florida,Expected Life Cycle of Programs,COM,commercial,19754,17147,1560035,41.1,thousand dollars,thousand dollars,megawatthours,megawatts
1154,2019,DE,Delaware,Expected Life Cycle of Programs,COM,commercial,159,9201,6937,0,thousand dollars,thousand dollars,megawatthours,megawatts
1155,2019,DC,District of Columbia,Expected Life Cycle of Programs,COM,commercial,5594,4061,1315589,15.9,thousand dollars,thousand dollars,megawatthours,megawatts
